filename,label,persian_digit,font
0\0_000000.png,0,۰,arial.ttf
0\0_000001.png,0,۰,arialbd.ttf
0\0_000002.png,0,۰,BNazanin.ttf
0\0_000003.png,0,۰,BYekan.ttf
0\0_000004.png,0,۰,IRANSans(FaNum).ttf
0\0_000005.png,0,۰,IRANSans(FaNum)_Black.ttf
0\0_000006.png,0,۰,IRANSans(FaNum)_Bold.ttf
0\0_000007.png,0,۰,IRANSans(FaNum)_Light.ttf
0\0_000008.png,0,۰,IRANSans(FaNum)_Medium.ttf
0\0_000009.png,0,۰,IRANSans(FaNum)_UltraLight.ttf
0\0_000010.png,0,۰,IRANSans.ttf
0\0_000011.png,0,۰,IRANSans_Black.ttf
0\0_000012.png,0,۰,IRANSans_Bold.ttf
0\0_000013.png,0,۰,IRANSans_Light.ttf
0\0_000014.png,0,۰,IRANSans_Medium.ttf
0\0_000015.png,0,۰,IRANSans_UltraLight.ttf
0\0_000016.png,0,۰,IRANSansMobile(FaNum).ttf
0\0_000017.png,0,۰,IRANSansMobile(FaNum)_Black.ttf
0\0_000018.png,0,۰,IRANSansMobile(FaNum)_Bold.ttf
0\0_000019.png,0,۰,IRANSansMobile(FaNum)_Light.ttf
0\0_000020.png,0,۰,arial.ttf
0\0_000021.png,0,۰,arialbd.ttf
0\0_000022.png,0,۰,BNazanin.ttf
0\0_000023.png,0,۰,BYekan.ttf
0\0_000024.png,0,۰,IRANSans(FaNum).ttf
0\0_000025.png,0,۰,IRANSans(FaNum)_Black.ttf
0\0_000026.png,0,۰,IRANSans(FaNum)_Bold.ttf
0\0_000027.png,0,۰,IRANSans(FaNum)_Light.ttf
0\0_000028.png,0,۰,IRANSans(FaNum)_Medium.ttf
0\0_000029.png,0,۰,IRANSans(FaNum)_UltraLight.ttf
0\0_000030.png,0,۰,IRANSans.ttf
0\0_000031.png,0,۰,IRANSans_Black.ttf
0\0_000032.png,0,۰,IRANSans_Bold.ttf
0\0_000033.png,0,۰,IRANSans_Light.ttf
0\0_000034.png,0,۰,IRANSans_Medium.ttf
0\0_000035.png,0,۰,IRANSans_UltraLight.ttf
0\0_000036.png,0,۰,IRANSansMobile(FaNum).ttf
0\0_000037.png,0,۰,IRANSansMobile(FaNum)_Black.ttf
0\0_000038.png,0,۰,IRANSansMobile(FaNum)_Bold.ttf
0\0_000039.png,0,۰,IRANSansMobile(FaNum)_Light.ttf
0\0_000040.png,0,۰,arial.ttf
0\0_000041.png,0,۰,arialbd.ttf
0\0_000042.png,0,۰,BNazanin.ttf
0\0_000043.png,0,۰,BYekan.ttf
0\0_000044.png,0,۰,IRANSans(FaNum).ttf
0\0_000045.png,0,۰,IRANSans(FaNum)_Black.ttf
0\0_000046.png,0,۰,IRANSans(FaNum)_Bold.ttf
0\0_000047.png,0,۰,IRANSans(FaNum)_Light.ttf
0\0_000048.png,0,۰,IRANSans(FaNum)_Medium.ttf
0\0_000049.png,0,۰,IRANSans(FaNum)_UltraLight.ttf
0\0_000050.png,0,۰,IRANSans.ttf
0\0_000051.png,0,۰,IRANSans_Black.ttf
0\0_000052.png,0,۰,IRANSans_Bold.ttf
0\0_000053.png,0,۰,IRANSans_Light.ttf
0\0_000054.png,0,۰,IRANSans_Medium.ttf
0\0_000055.png,0,۰,IRANSans_UltraLight.ttf
0\0_000056.png,0,۰,IRANSansMobile(FaNum).ttf
0\0_000057.png,0,۰,IRANSansMobile(FaNum)_Black.ttf
0\0_000058.png,0,۰,IRANSansMobile(FaNum)_Bold.ttf
0\0_000059.png,0,۰,IRANSansMobile(FaNum)_Light.ttf
0\0_000060.png,0,۰,arial.ttf
0\0_000061.png,0,۰,arialbd.ttf
0\0_000062.png,0,۰,BNazanin.ttf
0\0_000063.png,0,۰,BYekan.ttf
0\0_000064.png,0,۰,IRANSans(FaNum).ttf
0\0_000065.png,0,۰,IRANSans(FaNum)_Black.ttf
