filename,style,kind,puzzle,solution,difficulty,requested_blanks,actual_blanks,seed
images_original\sudoku_00000_en.png,en,original,050000416060008037000014090147060302320401060080203070000046583600000021030000040,859732416461598237273614895147869352325471968986253174712946583694385721538127649,medium,45,45,358635235
images_variant\sudoku_00000_en_var_00.png,en,variant,050000416060008037000014090147060302320401060080203070000046583600000021030000040,859732416461598237273614895147869352325471968986253174712946583694385721538127649,medium,45,45,358635235
images_variant\sudoku_00000_en_var_01.png,en,variant,050000416060008037000014090147060302320401060080203070000046583600000021030000040,859732416461598237273614895147869352325471968986253174712946583694385721538127649,medium,45,45,358635235
images_variant\sudoku_00000_en_var_02.png,en,variant,050000416060008037000014090147060302320401060080203070000046583600000021030000040,859732416461598237273614895147869352325471968986253174712946583694385721538127649,medium,45,45,358635235
images_original\sudoku_00000_fa.png,fa,original,050000416060008037000014090147060302320401060080203070000046583600000021030000040,859732416461598237273614895147869352325471968986253174712946583694385721538127649,medium,45,45,358635235
images_variant\sudoku_00000_fa_var_00.png,fa,variant,050000416060008037000014090147060302320401060080203070000046583600000021030000040,859732416461598237273614895147869352325471968986253174712946583694385721538127649,medium,45,45,358635235
images_variant\sudoku_00000_fa_var_01.png,fa,variant,050000416060008037000014090147060302320401060080203070000046583600000021030000040,859732416461598237273614895147869352325471968986253174712946583694385721538127649,medium,45,45,358635235
images_variant\sudoku_00000_fa_var_02.png,fa,variant,050000416060008037000014090147060302320401060080203070000046583600000021030000040,859732416461598237273614895147869352325471968986253174712946583694385721538127649,medium,45,45,358635235
images_original\sudoku_00001_en.png,en,original,867090050000435000050086910029004070603007000170902600706100090090670001281000000,867291354912435867354786912529364178643817529178952643736128495495673281281549736,medium,45,45,358635235
images_variant\sudoku_00001_en_var_00.png,en,variant,867090050000435000050086910029004070603007000170902600706100090090670001281000000,867291354912435867354786912529364178643817529178952643736128495495673281281549736,medium,45,45,358635235
images_variant\sudoku_00001_en_var_01.png,en,variant,867090050000435000050086910029004070603007000170902600706100090090670001281000000,867291354912435867354786912529364178643817529178952643736128495495673281281549736,medium,45,45,358635235
images_variant\sudoku_00001_en_var_02.png,en,variant,867090050000435000050086910029004070603007000170902600706100090090670001281000000,867291354912435867354786912529364178643817529178952643736128495495673281281549736,medium,45,45,358635235
images_original\sudoku_00001_fa.png,fa,original,867090050000435000050086910029004070603007000170902600706100090090670001281000000,867291354912435867354786912529364178643817529178952643736128495495673281281549736,medium,45,45,358635235
images_variant\sudoku_00001_fa_var_00.png,fa,variant,867090050000435000050086910029004070603007000170902600706100090090670001281000000,867291354912435867354786912529364178643817529178952643736128495495673281281549736,medium,45,45,358635235
images_variant\sudoku_00001_fa_var_01.png,fa,variant,867090050000435000050086910029004070603007000170902600706100090090670001281000000,867291354912435867354786912529364178643817529178952643736128495495673281281549736,medium,45,45,358635235
images_variant\sudoku_00001_fa_var_02.png,fa,variant,867090050000435000050086910029004070603007000170902600706100090090670001281000000,867291354912435867354786912529364178643817529178952643736128495495673281281549736,medium,45,45,358635235
images_original\sudoku_00002_en.png,en,original,500930108860007200900001000000678004000425010405300870100006400750094301200000057,547932168861547239932861745319678524678425913425319876183756492756294381294183657,medium,45,45,358635235
images_variant\sudoku_00002_en_var_00.png,en,variant,500930108860007200900001000000678004000425010405300870100006400750094301200000057,547932168861547239932861745319678524678425913425319876183756492756294381294183657,medium,45,45,358635235
images_variant\sudoku_00002_en_var_01.png,en,variant,500930108860007200900001000000678004000425010405300870100006400750094301200000057,547932168861547239932861745319678524678425913425319876183756492756294381294183657,medium,45,45,358635235
images_variant\sudoku_00002_en_var_02.png,en,variant,500930108860007200900001000000678004000425010405300870100006400750094301200000057,547932168861547239932861745319678524678425913425319876183756492756294381294183657,medium,45,45,358635235
images_original\sudoku_00002_fa.png,fa,original,500930108860007200900001000000678004000425010405300870100006400750094301200000057,547932168861547239932861745319678524678425913425319876183756492756294381294183657,medium,45,45,358635235
images_variant\sudoku_00002_fa_var_00.png,fa,variant,500930108860007200900001000000678004000425010405300870100006400750094301200000057,547932168861547239932861745319678524678425913425319876183756492756294381294183657,medium,45,45,358635235
images_variant\sudoku_00002_fa_var_01.png,fa,variant,500930108860007200900001000000678004000425010405300870100006400750094301200000057,547932168861547239932861745319678524678425913425319876183756492756294381294183657,medium,45,45,358635235
images_variant\sudoku_00002_fa_var_02.png,fa,variant,500930108860007200900001000000678004000425010405300870100006400750094301200000057,547932168861547239932861745319678524678425913425319876183756492756294381294183657,medium,45,45,358635235
images_original\sudoku_00003_en.png,en,original,073506000201003000040081009350008791197000020028000050035000008460819030019030000,973546182281973645546281379354628791197354826628197453735462918462819537819735264,medium,45,45,358635235
images_variant\sudoku_00003_en_var_00.png,en,variant,073506000201003000040081009350008791197000020028000050035000008460819030019030000,973546182281973645546281379354628791197354826628197453735462918462819537819735264,medium,45,45,358635235
images_variant\sudoku_00003_en_var_01.png,en,variant,073506000201003000040081009350008791197000020028000050035000008460819030019030000,973546182281973645546281379354628791197354826628197453735462918462819537819735264,medium,45,45,358635235
images_variant\sudoku_00003_en_var_02.png,en,variant,073506000201003000040081009350008791197000020028000050035000008460819030019030000,973546182281973645546281379354628791197354826628197453735462918462819537819735264,medium,45,45,358635235
images_original\sudoku_00003_fa.png,fa,original,073506000201003000040081009350008791197000020028000050035000008460819030019030000,973546182281973645546281379354628791197354826628197453735462918462819537819735264,medium,45,45,358635235
images_variant\sudoku_00003_fa_var_00.png,fa,variant,073506000201003000040081009350008791197000020028000050035000008460819030019030000,973546182281973645546281379354628791197354826628197453735462918462819537819735264,medium,45,45,358635235
images_variant\sudoku_00003_fa_var_01.png,fa,variant,073506000201003000040081009350008791197000020028000050035000008460819030019030000,973546182281973645546281379354628791197354826628197453735462918462819537819735264,medium,45,45,358635235
images_variant\sudoku_00003_fa_var_02.png,fa,variant,073506000201003000040081009350008791197000020028000050035000008460819030019030000,973546182281973645546281379354628791197354826628197453735462918462819537819735264,medium,45,45,358635235
images_original\sudoku_00004_en.png,en,original,702350960640028000005094000850030040100060080026875000060007803538900420000500000,782351964649728531315694278857139642193462785426875319961247853538916427274583196,medium,45,45,358635235
images_variant\sudoku_00004_en_var_00.png,en,variant,702350960640028000005094000850030040100060080026875000060007803538900420000500000,782351964649728531315694278857139642193462785426875319961247853538916427274583196,medium,45,45,358635235
images_variant\sudoku_00004_en_var_01.png,en,variant,702350960640028000005094000850030040100060080026875000060007803538900420000500000,782351964649728531315694278857139642193462785426875319961247853538916427274583196,medium,45,45,358635235
images_variant\sudoku_00004_en_var_02.png,en,variant,702350960640028000005094000850030040100060080026875000060007803538900420000500000,782351964649728531315694278857139642193462785426875319961247853538916427274583196,medium,45,45,358635235
images_original\sudoku_00004_fa.png,fa,original,702350960640028000005094000850030040100060080026875000060007803538900420000500000,782351964649728531315694278857139642193462785426875319961247853538916427274583196,medium,45,45,358635235
images_variant\sudoku_00004_fa_var_00.png,fa,variant,702350960640028000005094000850030040100060080026875000060007803538900420000500000,782351964649728531315694278857139642193462785426875319961247853538916427274583196,medium,45,45,358635235
images_variant\sudoku_00004_fa_var_01.png,fa,variant,702350960640028000005094000850030040100060080026875000060007803538900420000500000,782351964649728531315694278857139642193462785426875319961247853538916427274583196,medium,45,45,358635235
images_variant\sudoku_00004_fa_var_02.png,fa,variant,702350960640028000005094000850030040100060080026875000060007803538900420000500000,782351964649728531315694278857139642193462785426875319961247853538916427274583196,medium,45,45,358635235
images_original\sudoku_00005_en.png,en,original,060009050000750100502031040906508003100096020000000004700063082690284070024105000,361849257489752136572631948946528713137496825258317694715963482693284571824175369,medium,45,45,358635235
images_variant\sudoku_00005_en_var_00.png,en,variant,060009050000750100502031040906508003100096020000000004700063082690284070024105000,361849257489752136572631948946528713137496825258317694715963482693284571824175369,medium,45,45,358635235
images_variant\sudoku_00005_en_var_01.png,en,variant,060009050000750100502031040906508003100096020000000004700063082690284070024105000,361849257489752136572631948946528713137496825258317694715963482693284571824175369,medium,45,45,358635235
images_variant\sudoku_00005_en_var_02.png,en,variant,060009050000750100502031040906508003100096020000000004700063082690284070024105000,361849257489752136572631948946528713137496825258317694715963482693284571824175369,medium,45,45,358635235
images_original\sudoku_00005_fa.png,fa,original,060009050000750100502031040906508003100096020000000004700063082690284070024105000,361849257489752136572631948946528713137496825258317694715963482693284571824175369,medium,45,45,358635235
images_variant\sudoku_00005_fa_var_00.png,fa,variant,060009050000750100502031040906508003100096020000000004700063082690284070024105000,361849257489752136572631948946528713137496825258317694715963482693284571824175369,medium,45,45,358635235
images_variant\sudoku_00005_fa_var_01.png,fa,variant,060009050000750100502031040906508003100096020000000004700063082690284070024105000,361849257489752136572631948946528713137496825258317694715963482693284571824175369,medium,45,45,358635235
images_variant\sudoku_00005_fa_var_02.png,fa,variant,060009050000750100502031040906508003100096020000000004700063082690284070024105000,361849257489752136572631948946528713137496825258317694715963482693284571824175369,medium,45,45,358635235
images_original\sudoku_00006_en.png,en,original,002790008479001000106000090010000200205000080600452970820900010000017830700238540,352794168479861325186523497917386254245179683638452971823945716594617832761238549,medium,45,45,358635235
