filename,style,kind,puzzle,solution,difficulty,requested_blanks,actual_blanks,seed
images_original\sudoku_00000_fa.png,fa,original,020780049604200850870060100300007090000600570017000306000071000958020003031008064,123785649694213857875964132362157498489632571517849326246371985958426713731598264,medium,45,45,1701254515
images_variant\sudoku_00000_fa_var_00.png,fa,variant,020780049604200850870060100300007090000600570017000306000071000958020003031008064,123785649694213857875964132362157498489632571517849326246371985958426713731598264,medium,45,45,1701254515
images_variant\sudoku_00000_fa_var_01.png,fa,variant,020780049604200850870060100300007090000600570017000306000071000958020003031008064,123785649694213857875964132362157498489632571517849326246371985958426713731598264,medium,45,45,1701254515
images_variant\sudoku_00000_fa_var_02.png,fa,variant,020780049604200850870060100300007090000600570017000306000071000958020003031008064,123785649694213857875964132362157498489632571517849326246371985958426713731598264,medium,45,45,1701254515
images_original\sudoku_00001_fa.png,fa,original,591800000004195072200030095006049007905000600710003000057008000803004000409051320,591872436634195872278436195386549217945217683712683549157328964823964751469751328,medium,45,45,1701254515
images_variant\sudoku_00001_fa_var_00.png,fa,variant,591800000004195072200030095006049007905000600710003000057008000803004000409051320,591872436634195872278436195386549217945217683712683549157328964823964751469751328,medium,45,45,1701254515
images_variant\sudoku_00001_fa_var_01.png,fa,variant,591800000004195072200030095006049007905000600710003000057008000803004000409051320,591872436634195872278436195386549217945217683712683549157328964823964751469751328,medium,45,45,1701254515
images_variant\sudoku_00001_fa_var_02.png,fa,variant,591800000004195072200030095006049007905000600710003000057008000803004000409051320,591872436634195872278436195386549217945217683712683549157328964823964751469751328,medium,45,45,1701254515
images_original\sudoku_00002_fa.png,fa,original,004006839060308274000000015800015960000000487600870001500000002908021300010003098,724156839165398274389742615847215963251639487693874521536987142978421356412563798,medium,45,45,1701254515
images_variant\sudoku_00002_fa_var_00.png,fa,variant,004006839060308274000000015800015960000000487600870001500000002908021300010003098,724156839165398274389742615847215963251639487693874521536987142978421356412563798,medium,45,45,1701254515
images_variant\sudoku_00002_fa_var_01.png,fa,variant,004006839060308274000000015800015960000000487600870001500000002908021300010003098,724156839165398274389742615847215963251639487693874521536987142978421356412563798,medium,45,45,1701254515
images_variant\sudoku_00002_fa_var_02.png,fa,variant,004006839060308274000000015800015960000000487600870001500000002908021300010003098,724156839165398274389742615847215963251639487693874521536987142978421356412563798,medium,45,45,1701254515
images_original\sudoku_00003_fa.png,fa,original,000030006731000400608549000300280960000015802080406003062050008003960000050073620,549731286731628495628549317315287964496315872287496153962154738873962541154873629,medium,45,45,1701254515
images_variant\sudoku_00003_fa_var_00.png,fa,variant,000030006731000400608549000300280960000015802080406003062050008003960000050073620,549731286731628495628549317315287964496315872287496153962154738873962541154873629,medium,45,45,1701254515
